Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1171939,2425,ZOMAOPT,ETERNAL26FEB260CE,26-FEB-2026,OPTSTK,CE,260,0.05,
BFO,1132294,2425,ZOMAOPT,ETERNAL25DEC390PE,24-DEC-2025,OPTSTK,PE,390,0.05,
BFO,1130807,2425,ZOMAOPT,ETERNAL25DEC385PE,24-DEC-2025,OPTSTK,PE,385,0.05,
BFO,1130520,2425,ZOMAOPT,ETERNAL25DEC380PE,24-DEC-2025,OPTSTK,PE,380,0.05,
BFO,1129979,2425,ZOMAOPT,ETERNAL25DEC375PE,24-DEC-2025,OPTSTK,PE,375,0.05,
BFO,1129610,2425,ZOMAOPT,ETERNAL25DEC370PE,24-DEC-2025,OPTSTK,PE,370,0.05,
BFO,1114578,2425,ZOMAOPT,ETERNAL25DEC365PE,24-DEC-2025,OPTSTK,PE,365,0.05,
BFO,1114325,2425,ZOMAOPT,ETERNAL25DEC360PE,24-DEC-2025,OPTSTK,PE,360,0.05,
BFO,1102107,2425,ZOMAOPT,ETERNAL25DEC355PE,24-DEC-2025,OPTSTK,PE,355,0.05,
BFO,1101776,2425,ZOMAOPT,ETERNAL25DEC350PE,24-DEC-2025,OPTSTK,PE,350,0.05,
BFO,1105342,2425,ZOMAOPT,ETERNAL25DEC345PE,24-DEC-2025,OPTSTK,PE,345,0.05,
BFO,1105059,2425,ZOMAOPT,ETERNAL25DEC340PE,24-DEC-2025,OPTSTK,PE,340,0.05,
BFO,1111056,2425,ZOMAOPT,ETERNAL25DEC335PE,24-DEC-2025,OPTSTK,PE,335,0.05,
BFO,1110756,2425,ZOMAOPT,ETERNAL25DEC330PE,24-DEC-2025,OPTSTK,PE,330,0.05,
BFO,1113851,2425,ZOMAOPT,ETERNAL25DEC325PE,24-DEC-2025,OPTSTK,PE,325,0.05,
BFO,1113439,2425,ZOMAOPT,ETERNAL25DEC320PE,24-DEC-2025,OPTSTK,PE,320,0.05,
BFO,1116188,2425,ZOMAOPT,ETERNAL25DEC315PE,24-DEC-2025,OPTSTK,PE,315,0.05,
BFO,1115928,2425,ZOMAOPT,ETERNAL25DEC310PE,24-DEC-2025,OPTSTK,PE,310,0.05,
